                              id |                         title |     status |  done | lang | creator_name |                output_language |       item_type |                eta | low_priority | waiting_time | is_trash |                       project_id |                                                                                                                                     name
edb4c43fe88b4f2387e1a5eb8e7bf724 |          DearHeaven_S01E02--0 | processing | False |  eng |        Lance |        English (United States) | video_translate |  96.90971591805533 |        False |            0 |    False | 14bb07cda9ff4dbfaed238fb0fbd8c65 |                                                               DearHeaven_S01E02--0--%5B%5Bf18ee30b5bd4467bb5996cb4c89ae9c2-000%5D%5D.m4a
8264e141389941b3b1190e992bd06240 |          DearHeaven_S01E02--1 | processing | False |  eng |        Lance |        English (United States) | video_translate |  33.33333619805706 |        False |            0 |    False | c77db7d371e747cf93225e28d60e9de3 |                                                               DearHeaven_S01E02--1--%5B%5Bf18ee30b5bd4467bb5996cb4c89ae9c2-001%5D%5D.m4a
47a8ee1ac8e3467580be4dc20eae4067 |          DearHeaven_S01E02--2 |  completed | False |  eng |        Lance |        English (United States) | video_translate |                  0 |        False |            0 |    False | d90fd9fe544f4109bdbc3cc167451217 |                                                               DearHeaven_S01E02--2--%5B%5Bf18ee30b5bd4467bb5996cb4c89ae9c2-002%5D%5D.m4a
dea0f5e60c9742548f7c1bff3f21e461 |          DearHeaven_S01E02--0 |  completed |  True |  jpn |        Lance |                       Japanese | video_translate |                  0 |        False |            0 |    False | d90fd9fe544f4109bdbc3cc167451217 |                                                               DearHeaven_S01E02--0--%5B%5Bf18ee30b5bd4467bb5996cb4c89ae9c2-000%5D%5D.m4a
d228600121834830b41de0362d69be5e |          DearHeaven_S01E02--1 |  completed |  True |  jpn |        Lance |                       Japanese | video_translate |                  0 |        False |            0 |    False | d90fd9fe544f4109bdbc3cc167451217 |                                                               DearHeaven_S01E02--1--%5B%5Bf18ee30b5bd4467bb5996cb4c89ae9c2-001%5D%5D.m4a
254fba7f71b546148d87579debe743cc |          DearHeaven_S01E02--2 |  completed |  True |  jpn |        Lance |                       Japanese | video_translate |                  0 |        False |            0 |    False | d90fd9fe544f4109bdbc3cc167451217 |                                                               DearHeaven_S01E02--2--%5B%5Bf18ee30b5bd4467bb5996cb4c89ae9c2-002%5D%5D.m4a
a6191d4f718649f7a69bc1807771ada5 |          DearHeaven_S01E02--0 | processing | False |  zho |        Lance | Chinese (Mandarin, Simplified) | video_translate |  95.75627949282516 |        False |            0 |    False | 14bb07cda9ff4dbfaed238fb0fbd8c65 |                                                               DearHeaven_S01E02--0--%5B%5Bf18ee30b5bd4467bb5996cb4c89ae9c2-000%5D%5D.m4a
0285760b717d4d28aef333c01519dc3d |          DearHeaven_S01E02--1 |  completed | False |  zho |        Lance | Chinese (Mandarin, Simplified) | video_translate |                  0 |        False |            0 |    False | d90fd9fe544f4109bdbc3cc167451217 |                                                               DearHeaven_S01E02--1--%5B%5Bf18ee30b5bd4467bb5996cb4c89ae9c2-001%5D%5D.m4a
4302b26dd6c74966aa32e2467b6d48a0 |          DearHeaven_S01E02--2 | processing | False |  zho |        Lance | Chinese (Mandarin, Simplified) | video_translate |  96.13642177292361 |        False |            0 |    False | 14bb07cda9ff4dbfaed238fb0fbd8c65 |                                                               DearHeaven_S01E02--2--%5B%5Bf18ee30b5bd4467bb5996cb4c89ae9c2-002%5D%5D.m4a
3ea8a8ae8cad4a5e8f0646c56aadd674 |          DearHeaven_S01E03--0 |  completed | False |  eng |        Lance |        English (United States) | video_translate |                  0 |        False |            0 |    False | d90fd9fe544f4109bdbc3cc167451217 |                                                               DearHeaven_S01E03--0--%5B%5Bf6cd6e70c0804c159bd1c95765ccf28c-000%5D%5D.m4a
4fbe57ddea5d4887b68ba38008ca17bb |          DearHeaven_S01E03--1 | processing | False |  eng |        Lance |        English (United States) | video_translate |  96.63672702339252 |        False |            0 |    False | 14bb07cda9ff4dbfaed238fb0fbd8c65 |                                                               DearHeaven_S01E03--1--%5B%5Bf6cd6e70c0804c159bd1c95765ccf28c-001%5D%5D.m4a
1821a2153c5a4bb6acfc8b769cbd5d8b |          DearHeaven_S01E03--2 | processing | False |  eng |        Lance |        English (United States) | video_translate |  33.33335161051526 |        False |            0 |    False | 14bb07cda9ff4dbfaed238fb0fbd8c65 |                                                               DearHeaven_S01E03--2--%5B%5Bf6cd6e70c0804c159bd1c95765ccf28c-002%5D%5D.m4a
9cb626adbf2d486f9220f79be82fdd7e |          DearHeaven_S01E03--0 |  completed |  True |  jpn |        Lance |                       Japanese | video_translate |                  0 |        False |            0 |    False | d90fd9fe544f4109bdbc3cc167451217 |                                                               DearHeaven_S01E03--0--%5B%5Bf6cd6e70c0804c159bd1c95765ccf28c-000%5D%5D.m4a
bf9178fb6e4843e596d9792dffce0c00 |          DearHeaven_S01E03--1 |  completed |  True |  jpn |        Lance |                       Japanese | video_translate |                  0 |        False |            0 |    False | d90fd9fe544f4109bdbc3cc167451217 |                                                               DearHeaven_S01E03--1--%5B%5Bf6cd6e70c0804c159bd1c95765ccf28c-001%5D%5D.m4a
a9df3b474ad64a02935b38b08bc0c89b |          DearHeaven_S01E03--2 |  completed |  True |  jpn |        Lance |                       Japanese | video_translate |                  0 |        False |            0 |    False | d90fd9fe544f4109bdbc3cc167451217 |                                                               DearHeaven_S01E03--2--%5B%5Bf6cd6e70c0804c159bd1c95765ccf28c-002%5D%5D.m4a
2924b0c5b28a4f2cbe1daa70e1952d54 |          DearHeaven_S01E03--0 |  completed | False |  zho |        Lance | Chinese (Mandarin, Simplified) | video_translate |                  0 |        False |            0 |    False | d90fd9fe544f4109bdbc3cc167451217 |                                                               DearHeaven_S01E03--0--%5B%5Bf6cd6e70c0804c159bd1c95765ccf28c-000%5D%5D.m4a
9431947dd06b4dbb90ef4661c25670e5 |          DearHeaven_S01E03--1 | processing | False |  zho |        Lance | Chinese (Mandarin, Simplified) | video_translate |  96.63672702339252 |        False |            0 |    False | 14bb07cda9ff4dbfaed238fb0fbd8c65 |                                                               DearHeaven_S01E03--1--%5B%5Bf6cd6e70c0804c159bd1c95765ccf28c-001%5D%5D.m4a
0b6bf70becd646eba86b781e16e4329a |          DearHeaven_S01E03--2 |  completed | False |  zho |        Lance | Chinese (Mandarin, Simplified) | video_translate |                  0 |        False |            0 |    False | d90fd9fe544f4109bdbc3cc167451217 |                                                               DearHeaven_S01E03--2--%5B%5Bf6cd6e70c0804c159bd1c95765ccf28c-002%5D%5D.m4a
08e836e57c4047c19fc7fb2269ef09a1 |          DearHeaven_S01E04--0 | processing | False |  eng |        Lance |        English (United States) | video_translate |  33.33333847454051 |        False |            0 |    False | c77db7d371e747cf93225e28d60e9de3 |                                                               DearHeaven_S01E04--0--%5B%5Bf18b536d1012477cbd54960fc11b1c17-000%5D%5D.m4a
9f64e347680d432990a37eedb05b5ad9 |          DearHeaven_S01E04--1 | processing | False |  eng |        Lance |        English (United States) | video_translate |  97.01062339994634 |        False |            0 |    False | 14bb07cda9ff4dbfaed238fb0fbd8c65 |                                                               DearHeaven_S01E04--1--%5B%5Bf18b536d1012477cbd54960fc11b1c17-001%5D%5D.m4a
377a9aa862dc45bdb0509e05ae962c21 |          DearHeaven_S01E04--2 | processing | False |  eng |        Lance |        English (United States) | video_translate | 33.333361542740434 |        False |            0 |    False | 14bb07cda9ff4dbfaed238fb0fbd8c65 |                                                               DearHeaven_S01E04--2--%5B%5Bf18b536d1012477cbd54960fc11b1c17-002%5D%5D.m4a
7a79d1733cbc4494b288be9516f76419 |          DearHeaven_S01E04--0 |  completed |  True |  jpn |        Lance |                       Japanese | video_translate |                  0 |        False |            0 |    False | d90fd9fe544f4109bdbc3cc167451217 |                                                               DearHeaven_S01E04--0--%5B%5Bf18b536d1012477cbd54960fc11b1c17-000%5D%5D.m4a
90c207d510a04526b9c63e8f81e3feb8 |          DearHeaven_S01E04--1 |  completed |  True |  jpn |        Lance |                       Japanese | video_translate |                  0 |        False |            0 |    False | d90fd9fe544f4109bdbc3cc167451217 |                                                               DearHeaven_S01E04--1--%5B%5Bf18b536d1012477cbd54960fc11b1c17-001%5D%5D.m4a
cdbe7130943f4c5499737f19ad70e034 |          DearHeaven_S01E04--2 |  completed |  True |  jpn |        Lance |                       Japanese | video_translate |                  0 |        False |            0 |    False | c77db7d371e747cf93225e28d60e9de3 |                                                               DearHeaven_S01E04--2--%5B%5Bf18b536d1012477cbd54960fc11b1c17-002%5D%5D.m4a
57de2cbeac604ad1bc09f6a28a49405e |          DearHeaven_S01E04--0 |  completed |  True |  zho |        Lance | Chinese (Mandarin, Simplified) | video_translate |                  0 |        False |            0 |    False | d90fd9fe544f4109bdbc3cc167451217 |                                                               DearHeaven_S01E04--0--%5B%5Bf18b536d1012477cbd54960fc11b1c17-000%5D%5D.m4a
a9954ae4d3c449d79e9fa49bcecd6437 |          DearHeaven_S01E04--1 |  completed |  True |  zho |        Lance | Chinese (Mandarin, Simplified) | video_translate |                  0 |        False |            0 |    False | d90fd9fe544f4109bdbc3cc167451217 |                                                               DearHeaven_S01E04--1--%5B%5Bf18b536d1012477cbd54960fc11b1c17-001%5D%5D.m4a
ec2abeeefef94c8b879d0bec51dea227 |          DearHeaven_S01E04--2 |  completed |  True |  zho |        Lance | Chinese (Mandarin, Simplified) | video_translate |                  0 |        False |            0 |    False | d90fd9fe544f4109bdbc3cc167451217 |                                                               DearHeaven_S01E04--2--%5B%5Bf18b536d1012477cbd54960fc11b1c17-002%5D%5D.m4a
95d49864565148a1b9e68a506a1abce4 |          DearHeaven_S01E05--0 |  completed |  True |  eng |        Lance |        English (United States) | video_translate |                  0 |        False |            0 |    False | d90fd9fe544f4109bdbc3cc167451217 |                                                               DearHeaven_S01E05--0--%5B%5Bb521799366474ed1b0d788fc47664646-000%5D%5D.m4a
e82575d8652a4475888eed3c19b1a196 |          DearHeaven_S01E05--1 |  completed |  True |  eng |        Lance |        English (United States) | video_translate |                  0 |        False |            0 |    False | d90fd9fe544f4109bdbc3cc167451217 |                                                               DearHeaven_S01E05--1--%5B%5Bb521799366474ed1b0d788fc47664646-001%5D%5D.m4a
ccfbd27fbba54b9cbffd4b1ae91e4058 |          DearHeaven_S01E05--2 |  completed |  True |  eng |        Lance |        English (United States) | video_translate |                  0 |        False |            0 |    False | d90fd9fe544f4109bdbc3cc167451217 |                                                               DearHeaven_S01E05--2--%5B%5Bb521799366474ed1b0d788fc47664646-002%5D%5D.m4a
72db195b14ff4895a8123a867d126d00 |          DearHeaven_S01E05--0 |  completed |  True |  jpn |        Lance |                       Japanese | video_translate |                  0 |        False |            0 |    False | d90fd9fe544f4109bdbc3cc167451217 |                                                               DearHeaven_S01E05--0--%5B%5Bb521799366474ed1b0d788fc47664646-000%5D%5D.m4a
4af42f4b45364b6eba114f7963caaa7a |          DearHeaven_S01E05--1 |  completed |  True |  jpn |        Lance |                       Japanese | video_translate |                  0 |        False |            0 |    False | d90fd9fe544f4109bdbc3cc167451217 |                                                               DearHeaven_S01E05--1--%5B%5Bb521799366474ed1b0d788fc47664646-001%5D%5D.m4a
3eb479bb076c42c5b5a26a1ee026c084 |          DearHeaven_S01E05--2 |  completed |  True |  jpn |        Lance |                       Japanese | video_translate |                  0 |        False |            0 |    False | d90fd9fe544f4109bdbc3cc167451217 |                                                               DearHeaven_S01E05--2--%5B%5Bb521799366474ed1b0d788fc47664646-002%5D%5D.m4a
2e0852789bf647a69bf4da6f43b825b4 |          DearHeaven_S01E05--0 |  completed | False |  zho |        Lance | Chinese (Mandarin, Simplified) | video_translate |                  0 |        False |            0 |    False | d90fd9fe544f4109bdbc3cc167451217 |                                                               DearHeaven_S01E05--0--%5B%5Bb521799366474ed1b0d788fc47664646-000%5D%5D.m4a
8139f879f79e4929a2c46cc4f4fd22a7 |          DearHeaven_S01E05--1 | processing | False |  zho |        Lance | Chinese (Mandarin, Simplified) | video_translate |  95.28158404648327 |        False |            0 |    False | 14bb07cda9ff4dbfaed238fb0fbd8c65 |                                                               DearHeaven_S01E05--1--%5B%5Bb521799366474ed1b0d788fc47664646-001%5D%5D.m4a
8d58fc70bc4b4449bb5c4ccd1c46abb9 |          DearHeaven_S01E05--2 |  completed | False |  zho |        Lance | Chinese (Mandarin, Simplified) | video_translate |                  0 |        False |            0 |    False | d90fd9fe544f4109bdbc3cc167451217 |                                                               DearHeaven_S01E05--2--%5B%5Bb521799366474ed1b0d788fc47664646-002%5D%5D.m4a
b7cfacb093e04063aced56c8c3268a90 |          DearHeaven_S01E36--0 |  completed |  True |  eng |        Polel |        English (United States) | video_translate |                  0 |        False |            0 |    False | d90fd9fe544f4109bdbc3cc167451217 |                                                               DearHeaven_S01E36--0--%5B%5B19258fcb8c014ea68272008f8f5ba8ea-000%5D%5D.m4a
9f32041049754eb486e31f5c626bb7cb |          DearHeaven_S01E36--1 |  completed |  True |  eng |        Polel |        English (United States) | video_translate |                  0 |        False |            0 |    False | d90fd9fe544f4109bdbc3cc167451217 |                                                               DearHeaven_S01E36--1--%5B%5B19258fcb8c014ea68272008f8f5ba8ea-001%5D%5D.m4a
8a75cb73829e4a72bc8f8ad543d4a5fd |          DearHeaven_S01E36--0 |  completed |  True |  jpn |        Polel |                       Japanese | video_translate |                  0 |        False |            0 |    False | d90fd9fe544f4109bdbc3cc167451217 |                                                               DearHeaven_S01E36--0--%5B%5B19258fcb8c014ea68272008f8f5ba8ea-000%5D%5D.m4a
24f2633fc1db4afabe726d4b41d3e183 |          DearHeaven_S01E36--1 |  completed |  True |  jpn |        Polel |                       Japanese | video_translate |                  0 |        False |            0 |    False | d90fd9fe544f4109bdbc3cc167451217 |                                                               DearHeaven_S01E36--1--%5B%5B19258fcb8c014ea68272008f8f5ba8ea-001%5D%5D.m4a
b0e53eba6b934e59bf984c20ddc18848 |          DearHeaven_S01E36--0 | processing | False |  zho |        Polel | Chinese (Mandarin, Simplified) | video_translate |  95.34560568210206 |        False |            0 |    False | c77db7d371e747cf93225e28d60e9de3 |                                                               DearHeaven_S01E36--0--%5B%5B19258fcb8c014ea68272008f8f5ba8ea-000%5D%5D.m4a
3cc4fc92509341899c441c4a537bea56 |          DearHeaven_S01E36--1 | processing | False |  zho |        Polel | Chinese (Mandarin, Simplified) | video_translate |  95.19386105942091 |        False |            0 |    False | c77db7d371e747cf93225e28d60e9de3 |                                                               DearHeaven_S01E36--1--%5B%5B19258fcb8c014ea68272008f8f5ba8ea-001%5D%5D.m4a
54146f0a65b948f2b2eb24dcd7db244d |          DearHeaven_S01E37--0 | processing | False |  eng |        Polel |        English (United States) | video_translate |  95.13360450750822 |        False |            0 |    False | 14bb07cda9ff4dbfaed238fb0fbd8c65 |                                                               DearHeaven_S01E37--0--%5B%5Be09c1316b6264dd08663ec7ccf7c5265-000%5D%5D.m4a
4b8a450f57c1443ba4b76d1d49cbf25f |          DearHeaven_S01E37--1 | processing | False |  eng |        Polel |        English (United States) | video_translate |  97.12138018131337 |        False |            0 |    False | 14bb07cda9ff4dbfaed238fb0fbd8c65 |                                                               DearHeaven_S01E37--1--%5B%5Be09c1316b6264dd08663ec7ccf7c5265-001%5D%5D.m4a
875c44a9a7404949806421e2dbfd5a52 |          DearHeaven_S01E37--2 |    waiting | False |  eng |        Polel |        English (United States) | video_translate | 2.0285540260651893 |        False |         3600 |    False | c77db7d371e747cf93225e28d60e9de3 |                                                               DearHeaven_S01E37--2--%5B%5Be09c1316b6264dd08663ec7ccf7c5265-002%5D%5D.m4a
68e2e4d1098d49b4987e134589ad3d7f |          DearHeaven_S01E37--0 |  completed |  True |  jpn |        Polel |                       Japanese | video_translate |                  0 |        False |            0 |    False | d90fd9fe544f4109bdbc3cc167451217 |                                                               DearHeaven_S01E37--0--%5B%5Be09c1316b6264dd08663ec7ccf7c5265-000%5D%5D.m4a
ca0164e9fed0426c92271e7875398238 |          DearHeaven_S01E37--1 |  completed |  True |  jpn |        Polel |                       Japanese | video_translate |                  0 |        False |            0 |    False | d90fd9fe544f4109bdbc3cc167451217 |                                                               DearHeaven_S01E37--1--%5B%5Be09c1316b6264dd08663ec7ccf7c5265-001%5D%5D.m4a
8263f11f2f4d4d73af8aa783074c3965 |          DearHeaven_S01E37--2 |  completed |  True |  jpn |        Polel |                       Japanese | video_translate |                  0 |        False |            0 |    False | d90fd9fe544f4109bdbc3cc167451217 |                                                               DearHeaven_S01E37--2--%5B%5Be09c1316b6264dd08663ec7ccf7c5265-002%5D%5D.m4a
03d7937b838e4ffb9bd10ada9346096a |          DearHeaven_S01E37--0 |  completed | False |  zho |        Polel | Chinese (Mandarin, Simplified) | video_translate |                  0 |        False |            0 |    False | d90fd9fe544f4109bdbc3cc167451217 |                                                               DearHeaven_S01E37--0--%5B%5Be09c1316b6264dd08663ec7ccf7c5265-000%5D%5D.m4a
c5b56ffceb2046558d2f130f6399573c |          DearHeaven_S01E37--1 | processing | False |  zho |        Polel | Chinese (Mandarin, Simplified) | video_translate |  97.12138018131337 |        False |            0 |    False | 14bb07cda9ff4dbfaed238fb0fbd8c65 |                                                               DearHeaven_S01E37--1--%5B%5Be09c1316b6264dd08663ec7ccf7c5265-001%5D%5D.m4a
ed35f579c9f948b0846cae7d571f68d6 |          DearHeaven_S01E37--2 |  completed | False |  zho |        Polel | Chinese (Mandarin, Simplified) | video_translate |                  0 |        False |            0 |    False | d90fd9fe544f4109bdbc3cc167451217 |                                                               DearHeaven_S01E37--2--%5B%5Be09c1316b6264dd08663ec7ccf7c5265-002%5D%5D.m4a
05e0128e9a8147748845cfd581150bae |          DearHeaven_S01E38--0 |    waiting | False |  eng |        Polel |        English (United States) | video_translate | 4.6810638586082485 |        False |         3600 |    False | c77db7d371e747cf93225e28d60e9de3 |                                                               DearHeaven_S01E38--0--%5B%5B75fc7cdf58d643f78b4bf8c261521307-000%5D%5D.m4a
4735d32f33c94a44bd87e402334cb3c2 |          DearHeaven_S01E38--1 | processing | False |  eng |        Polel |        English (United States) | video_translate |   97.6866292748493 |        False |            0 |    False | 14bb07cda9ff4dbfaed238fb0fbd8c65 |                                                               DearHeaven_S01E38--1--%5B%5B75fc7cdf58d643f78b4bf8c261521307-001%5D%5D.m4a
ae1cb092cfae4d4da57f74624eb9fc6d |          DearHeaven_S01E38--2 |  completed | False |  eng |        Polel |        English (United States) | video_translate |                  0 |        False |            0 |    False | d90fd9fe544f4109bdbc3cc167451217 |                                                               DearHeaven_S01E38--2--%5B%5B75fc7cdf58d643f78b4bf8c261521307-002%5D%5D.m4a
e7b12f61d5ee467099ac3afa73077798 |          DearHeaven_S01E38--0 |  completed |  True |  jpn |        Polel |                       Japanese | video_translate |                  0 |        False |            0 |    False | c77db7d371e747cf93225e28d60e9de3 |                                                               DearHeaven_S01E38--0--%5B%5B75fc7cdf58d643f78b4bf8c261521307-000%5D%5D.m4a
517f0ba68f284269a9b6fadd2c7addc8 |          DearHeaven_S01E38--1 |  completed |  True |  jpn |        Polel |                       Japanese | video_translate |                  0 |        False |            0 |    False | d90fd9fe544f4109bdbc3cc167451217 |                                                               DearHeaven_S01E38--1--%5B%5B75fc7cdf58d643f78b4bf8c261521307-001%5D%5D.m4a
5e92619f9a654bb18e39217871c47990 |          DearHeaven_S01E38--2 |  completed |  True |  jpn |        Polel |                       Japanese | video_translate |                  0 |        False |            0 |    False | d90fd9fe544f4109bdbc3cc167451217 |                                                               DearHeaven_S01E38--2--%5B%5B75fc7cdf58d643f78b4bf8c261521307-002%5D%5D.m4a
6af14afff06a471e9a76bd03daf70555 |          DearHeaven_S01E38--0 | processing | False |  zho |        Polel | Chinese (Mandarin, Simplified) | video_translate | 33.333336214084206 |        False |            0 |    False | c77db7d371e747cf93225e28d60e9de3 |                                                               DearHeaven_S01E38--0--%5B%5B75fc7cdf58d643f78b4bf8c261521307-000%5D%5D.m4a
fd4d20a732ee45bbaa79492af32907da |          DearHeaven_S01E38--1 | processing | False |  zho |        Polel | Chinese (Mandarin, Simplified) | video_translate |   97.6866292748493 |        False |            0 |    False | c77db7d371e747cf93225e28d60e9de3 |                                                               DearHeaven_S01E38--1--%5B%5B75fc7cdf58d643f78b4bf8c261521307-001%5D%5D.m4a
25ee5833daec4669b433dff0b922a13f |          DearHeaven_S01E38--2 |  completed | False |  zho |        Polel | Chinese (Mandarin, Simplified) | video_translate |                  0 |        False |            0 |    False | d90fd9fe544f4109bdbc3cc167451217 |                                                               DearHeaven_S01E38--2--%5B%5B75fc7cdf58d643f78b4bf8c261521307-002%5D%5D.m4a
3d0ec3aabcb44b008ee3acfd19074160 |          DearHeaven_S01E39--0 |  completed | False |  eng |        Polel |        English (United States) | video_translate |                  0 |        False |            0 |    False | c77db7d371e747cf93225e28d60e9de3 |                                                               DearHeaven_S01E39--0--%5B%5B33f2d3688cf249fda81a98fe8b3380e3-000%5D%5D.m4a
87ad93d7e432499fbca34075d068d618 |          DearHeaven_S01E39--1 | processing | False |  eng |        Polel |        English (United States) | video_translate |  33.33333620422935 |        False |            0 |    False | c77db7d371e747cf93225e28d60e9de3 |                                                               DearHeaven_S01E39--1--%5B%5B33f2d3688cf249fda81a98fe8b3380e3-001%5D%5D.m4a
77d42a5693c640f3922ec9699ddf5ad7 |          DearHeaven_S01E39--2 | processing | False |  eng |        Polel |        English (United States) | video_translate |  33.33336152531192 |        False |            0 |    False | c77db7d371e747cf93225e28d60e9de3 |                                                               DearHeaven_S01E39--2--%5B%5B33f2d3688cf249fda81a98fe8b3380e3-002%5D%5D.m4a
592d2f8ed8494bf997dcf6875db80a63 |          DearHeaven_S01E39--0 |  completed | False |  jpn |        Polel |                       Japanese | video_translate |                  0 |        False |            0 |    False | d90fd9fe544f4109bdbc3cc167451217 |                                                               DearHeaven_S01E39--0--%5B%5B33f2d3688cf249fda81a98fe8b3380e3-000%5D%5D.m4a
864806aa5d62455cb214761898787f6e |          DearHeaven_S01E39--1 |  completed | False |  jpn |        Polel |                       Japanese | video_translate |                  0 |        False |            0 |    False | c77db7d371e747cf93225e28d60e9de3 |                                                               DearHeaven_S01E39--1--%5B%5B33f2d3688cf249fda81a98fe8b3380e3-001%5D%5D.m4a
ea5ee59a63914d71bc851015919e2b6e |          DearHeaven_S01E39--2 |    waiting | False |  jpn |        Polel |                       Japanese | video_translate |  4.229343217148314 |        False |         3600 |    False | c77db7d371e747cf93225e28d60e9de3 |                                                               DearHeaven_S01E39--2--%5B%5B33f2d3688cf249fda81a98fe8b3380e3-002%5D%5D.m4a
e51e8b42e3594f00b2048484661d6674 |          DearHeaven_S01E39--0 | processing | False |  zho |        Polel | Chinese (Mandarin, Simplified) | video_translate | 33.333336198054084 |        False |            0 |    False | c77db7d371e747cf93225e28d60e9de3 |                                                               DearHeaven_S01E39--0--%5B%5B33f2d3688cf249fda81a98fe8b3380e3-000%5D%5D.m4a
1f4ab5db3e3c4f6a966c7f3945b23d1d |          DearHeaven_S01E39--1 | processing | False |  zho |        Polel | Chinese (Mandarin, Simplified) | video_translate |  33.33333847023806 |        False |            0 |    False | c77db7d371e747cf93225e28d60e9de3 |                                                               DearHeaven_S01E39--1--%5B%5B33f2d3688cf249fda81a98fe8b3380e3-001%5D%5D.m4a
91563f3d2cf84dd6971a44c610d2505b |          DearHeaven_S01E39--2 | processing | False |  zho |        Polel | Chinese (Mandarin, Simplified) | video_translate |  33.33336152531192 |        False |            0 |    False | c77db7d371e747cf93225e28d60e9de3 |                                                               DearHeaven_S01E39--2--%5B%5B33f2d3688cf249fda81a98fe8b3380e3-002%5D%5D.m4a
9cd832d239c84c9fbfe759db1535f533 |          DearHeaven_S01E40--0 |    waiting | False |  eng |        Polel |        English (United States) | video_translate | 3.1078806835487782 |        False |         3600 |    False | c77db7d371e747cf93225e28d60e9de3 |                                                               DearHeaven_S01E40--0--%5B%5Ba7cf0a200a64417798d5505e1155107f-000%5D%5D.m4a
a78bcff4c38a4cfbb1bdfb9ec4e322d5 |          DearHeaven_S01E40--1 |    waiting | False |  eng |        Polel |        English (United States) | video_translate |  2.185524493256352 |        False |         3600 |    False | c77db7d371e747cf93225e28d60e9de3 |                                                               DearHeaven_S01E40--1--%5B%5Ba7cf0a200a64417798d5505e1155107f-001%5D%5D.m4a
1aaa9489b9a84aa395b1290c90fde5bd |          DearHeaven_S01E40--2 |  completed | False |  eng |        Polel |        English (United States) | video_translate |                  0 |        False |            0 |    False | d90fd9fe544f4109bdbc3cc167451217 |                                                               DearHeaven_S01E40--2--%5B%5Ba7cf0a200a64417798d5505e1155107f-002%5D%5D.m4a
4a75080cbbdb499f938d163434df95d7 |          DearHeaven_S01E40--0 |  completed |  True |  jpn |        Polel |                       Japanese | video_translate |                  0 |        False |            0 |    False | d90fd9fe544f4109bdbc3cc167451217 |                                                               DearHeaven_S01E40--0--%5B%5Ba7cf0a200a64417798d5505e1155107f-000%5D%5D.m4a
5530e5e6c2da4562b7518b077aaac5a2 |          DearHeaven_S01E40--1 |  completed |  True |  jpn |        Polel |                       Japanese | video_translate |                  0 |        False |            0 |    False | d90fd9fe544f4109bdbc3cc167451217 |                                                               DearHeaven_S01E40--1--%5B%5Ba7cf0a200a64417798d5505e1155107f-001%5D%5D.m4a
9c882b3f1787484f9c826d47e0e25487 |          DearHeaven_S01E40--2 |  completed |  True |  jpn |        Polel |                       Japanese | video_translate |                  0 |        False |            0 |    False | d90fd9fe544f4109bdbc3cc167451217 |                                                               DearHeaven_S01E40--2--%5B%5Ba7cf0a200a64417798d5505e1155107f-002%5D%5D.m4a
d32abb53bca443a7b2f1772e186d48a9 |          DearHeaven_S01E40--0 | processing | False |  zho |        Polel | Chinese (Mandarin, Simplified) | video_translate |  95.98777695959375 |        False |            0 |    False | 14bb07cda9ff4dbfaed238fb0fbd8c65 |                                                               DearHeaven_S01E40--0--%5B%5Ba7cf0a200a64417798d5505e1155107f-000%5D%5D.m4a
4525127ec498461ba5ed29c78a594321 |          DearHeaven_S01E40--1 |  completed | False |  zho |        Polel | Chinese (Mandarin, Simplified) | video_translate |                  0 |        False |            0 |    False | d90fd9fe544f4109bdbc3cc167451217 |                                                               DearHeaven_S01E40--1--%5B%5Ba7cf0a200a64417798d5505e1155107f-001%5D%5D.m4a
1b1df6cf2ce5428f9711fcf51a5ba43e |          DearHeaven_S01E40--2 |  completed | False |  zho |        Polel | Chinese (Mandarin, Simplified) | video_translate |                  0 |        False |            0 |    False | d90fd9fe544f4109bdbc3cc167451217 |                                                               DearHeaven_S01E40--2--%5B%5Ba7cf0a200a64417798d5505e1155107f-002%5D%5D.m4a
ce3124edd0d24ea899f390912014e535 |          DearHeaven_S01E45--0 | processing | False |  eng |        Lance |        English (United States) | video_translate |   95.5744439935248 |        False |            0 |    False | 14bb07cda9ff4dbfaed238fb0fbd8c65 |                                                               DearHeaven_S01E45--0--%5B%5Bdf2a3af01a384aa0bb733b3668ce9474-000%5D%5D.m4a
